"","isotype","latitude","longitude","isolation_date","isolation_date_comment"
"137","RC301",47.99,7.84,"1983-01-01","only year (1983) known"
"138","PX179",44.035,-123.058,"2001-10-02",NA
"139","QG2075",33.951,-83.376,"2013-02-20",NA
"140","QG536",37.7502,-122.433,"2010-12-30",NA
"141","QG556",34.4216,-119.702,"2011-06-27",NA
"142","QG557",34.4216,-119.702,"2011-06-27",NA
"143","QW947",-33.4213,-70.6106,"2013-04-12",NA
"144","QX1211",37.7502,-122.433,"2007-11-26",NA
"145","QX1212",37.7502,-122.433,"2007-11-26",NA
"146","QX1233",37.8804,-122.284,"2007-11-24",NA
"147","QX1791",20.6344,-156.393,"2011-01-27",NA
"148","QX1792",20.7055,-156.355,"2011-01-28",NA
"149","QX1793",20.7056,-156.357,"2011-01-28",NA
"150","QX1794",20.7056,-156.357,"2011-01-28",NA
"151","WN2001",51.9544,6.30341,"2008-06-26",NA
"152","WN2002",51.9753,5.69483,"2007-11-20",NA
